iter	Passed	Remaining
0	0	557
1	0	427
2	1	421
3	1	398
4	1	370
5	2	354
6	2	348
7	2	343
8	3	332
9	3	331
10	3	324
11	3	319
12	4	315
13	4	314
14	4	310
15	5	315
16	5	317
17	5	317
18	6	323
19	6	323
20	6	320
21	7	318
22	7	315
23	7	313
24	8	313
25	8	309
26	8	307
27	8	307
28	9	305
29	9	303
30	9	301
31	9	300
32	10	302
33	10	304
34	11	304
35	11	302
36	11	300
37	11	301
38	12	303
39	12	304
40	12	303
41	13	301
42	13	300
43	13	300
44	14	302
45	14	303
46	15	304
47	15	304
48	15	304
49	16	305
50	16	305
51	16	304
52	16	303
53	17	302
54	17	301
55	17	299
56	18	298
57	18	297
58	18	296
59	18	296
60	19	295
61	19	294
62	19	293
63	20	293
64	20	294
65	20	294
66	21	293
67	21	293
68	21	292
69	22	292
70	22	292
71	22	292
72	23	293
73	23	294
74	23	294
75	24	292
76	24	291
77	24	290
78	24	290
79	25	289
80	25	288
81	25	287
82	25	284
83	26	283
84	26	282
85	26	282
86	26	282
87	27	282
88	27	282
89	27	281
90	28	280
91	28	281
92	28	280
93	29	280
94	29	279
95	29	279
96	29	278
97	30	277
98	30	276
99	30	276
100	30	275
101	31	275
102	31	275
103	31	274
104	32	275
105	32	275
106	32	275
107	33	274
108	33	273
109	33	274
110	34	273
111	34	273
112	34	273
113	35	273
114	35	272
115	35	272
116	36	272
117	36	272
118	36	271
119	37	271
120	37	271
121	37	270
122	37	269
123	38	269
124	38	269
125	38	269
126	39	268
127	39	267
128	39	267
129	39	267
130	40	267
131	40	266
132	40	265
133	41	265
134	41	264
135	41	264
136	41	264
137	42	263
138	42	263
139	42	263
140	43	262
141	43	260
142	43	260
143	43	260
144	44	259
145	44	259
146	44	258
147	44	258
148	45	258
149	45	258
150	45	257
151	46	256
152	46	256
153	46	255
154	46	255
155	47	255
156	47	254
157	47	254
158	47	253
159	48	253
160	48	252
161	48	251
162	48	251
163	49	251
164	49	250
165	49	250
166	50	250
167	50	249
168	50	249
169	51	249
170	51	249
171	51	249
172	52	248
173	52	248
174	52	247
175	52	247
176	53	246
177	53	246
178	53	246
179	53	245
180	54	245
181	54	244
182	54	244
183	54	243
184	55	243
185	55	242
186	55	242
187	56	241
188	56	241
189	56	240
190	56	240
191	57	240
192	57	239
193	57	239
194	57	238
195	58	238
196	58	237
197	58	237
198	58	237
199	59	236
200	59	236
201	59	235
202	59	235
203	60	235
204	60	234
205	60	234
206	61	234
207	61	234
208	61	234
209	62	233
210	62	233
211	62	232
212	62	232
213	63	232
214	63	231
215	63	231
216	64	231
217	64	231
218	64	231
219	65	230
220	65	230
221	65	230
222	65	229
223	66	229
224	66	229
225	66	229
226	67	228
227	67	228
228	67	228
229	68	228
230	68	228
231	68	227
232	69	227
233	69	227
234	69	227
235	70	226
236	70	226
237	70	226
238	71	226
239	71	225
240	71	225
241	71	225
242	72	225
243	72	225
244	73	225
245	73	225
246	73	224
247	74	224
248	74	224
249	74	224
250	74	223
251	75	223
252	75	223
253	75	222
254	76	222
255	76	222
256	76	222
257	77	222
258	77	221
259	77	221
260	78	220
